name,distance1,distance2,distance3,distance4
02007,18.7055,7.46815,16.5848,7.2591
02018,1.89238,25.8276,3.9484,3.44758
02037,22.2457,28.6946,14.1007,7.68384
ANEU_16,4.21332,6.27461,4.36744,3.13736
ANEU_22,14.7321,3.51675,4.51774,28.8701
ANEU_29,10.3446,6.41085,1.35019,6.35771
ANEU_40,24.7191,2.50364,3.52003,13.6306
ANEU_56,19.0188,7.11675,2.96527,9.11861
ANEU_63,8.27467,3.72137,2.04966,2.96818
ANEU_78,11.8684,10.2607,3.61561,3.12724
C009,28.9048,5.19597,2.04688,1.50605
C032,5.27398,15.4361,0.992875,2.46278
C048,10.229,22.5058,2.8315,1.28627
C057,4.60105,1.61347,3.75985,5.19874
EDS02,6.70256,7.64124,7.94321,2.37895
MFN1,30.2776,26.3683,12.1663,12.0831
MFN40,1.54211,5.60576,3.33555,4.77806
MFN63,1.42888,2.80489,1.704,1.17192
MINIRAFE_VH07,2.63186,2.87931,28.2598,11.8907
MINIRAFE_VH16,8.70873,3.48168,4.32872,2.80758
RECODE_VH013,5.02933,10.7308,3.73295,7.7946
SLD13,9.40632,6.95576,8.07775,8.64635
VH1058,1.22205,2.57986,5.77178,2.75353
VH466,3.6773,12.3702,2.63367,13.2184
VH533,27.9712,21.7605,26.8756,25.0046
VH572,5.96071,4.66465,10.3761,3.22337
VH635,7.18523,1.53945,3.43082,3.64435
VH688,7.88988,18.7967,2.10765,2.7159
VH741,18.9866,16.4662,4.00261,1.68576
VH878,6.69356,16.0028,8.08955,4.301
